RowNumber,Age,Gender,Balance,EstimatedSalary,NumOfProducts,IsActiveMember,Exited
1,42,0,125000,101348,1,1,1
2,41,0,83807,112542,1,0,0
3,42,0,159660,113931,3,1,0
4,39,0,0,93826,2,0,0
5,43,0,125510,79084,1,0,0
6,44,1,97665,109431,2,1,1
7,50,1,129135,42085,2,1,1
8,29,0,0,134180,2,0,1
9,44,1,125000,116702,2,0,0
10,27,1,0,73828,2,1,0
11,31,1,102016,80181,2,1,0
12,24,1,0,71725,2,0,0
13,34,1,0,47422,2,1,0
14,25,1,0,59697,2,1,0
15,35,1,0,85139,2,0,1
16,36,0,0,101699,2,1,0
17,38,1,0,56130,2,1,0
18,37,0,0,118552,2,0,0
19,37,0,79084,52264,1,1,1
20,48,1,0,66344,2,0,1
21,45,1,125000,43460,2,1,0
22,58,0,180983,79344,1,0,1
23,38,1,0,51135,2,1,0
24,49,1,125000,113097,2,1,0
25,35,1,0,91530,2,1,0
26,43,1,0,53851,2,1,0
27,57,0,152369,54284,1,0,1
28,44,1,119799,84409,1,1,0
29,35,1,0,49198,2,1,0
30,34,1,0,76656,2,0,0
31,35,0,0,103938,2,1,0
32,28,1,0,80572,2,0,0
33,30,1,65951,113749,2,1,0
34,34,1,82380,59533,1,1,1
35,33,1,0,61126,2,0,0
36,48,0,168925,62229,1,0,1
37,52,1,0,69373,2,0,1
38,39,1,149591,90817,1,0,0
39,36,0,0,30155,2,1,0
40,53,0,189354,79483,1,0,1
41,33,1,0,57668,2,1,0
42,43,1,127069,74151,1,0,1
43,30,1,0,94403,2,1,0
44,46,1,125000,139061,1,1,0
45,33,1,0,89560,2,0,0
46,56,0,175617,55966,1,0,1
47,41,1,141070,66888,1,0,1
48,27,1,0,46971,2,1,0
49,37,0,0,71800,1,1,0
50,60,0,166123,38190,1,0,1
